test_case,site_url,login_url,username,password,course_xpath,edit_mode_checkbox_xpath,insert_button_xpath,add_content_button_xpath,add_activity_button_xpath,quiz_link_xpath,add_selected_button_xpath,quiz_name,name_input_id,save_button_xpath,questions_nav_xpath,question_add_menu_xpath,new_question_xpath,multiple_choice_type_xpath,add_question_type_button_xpath,expected_h2_xpath,expected_h2_text,question_name_input_id,question_name,question_text_data_id,question_text,defaultmark_input_id,answer_0_data_id,answer_0_text,fraction_0_select_id,answer_1_data_id,answer_1_text,fraction_1_select_id,submit_button_id,expected_error_id,defaultmark_value,fraction_0_option_text,fraction_1_option_text,expected_type,expected_xpath,expected_text
TC-003-030,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,,0,100%,,questionname,"//span[contains(concat("" "", normalize-space(@class), "" ""), "" questionname "") and normalize-space(.)=""Multiple choice question 1""]",Multiple choice question 1
TC-003-031,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,id_error_defaultmark,-1,100%,,error_id,,The default mark must be positive.
TC-003-032,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,id_error_defaultmark,"""1""",100%,,error_id,,You must enter a number here.
TC-003-033,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,,100000,100%,,error_xpath,"//*[contains(@class, ""errormessage"")]",Error writing to database
TC-003-034,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,,id_fraction_1,id_submitbutton,id_error_answer_1,1,100%,,error_id,,This type of question requires at least 2 choices
TC-003-035,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,,1,100%,,questionname,"//span[contains(concat("" "", normalize-space(@class), "" ""), "" questionname "") and normalize-space(.)=""Multiple choice question 1""]",Multiple choice question 1
TC-003-036,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,,1,100%,,questionname,"//span[contains(concat("" "", normalize-space(@class), "" ""), "" questionname "") and normalize-space(.)=""Multiple choice question 1""]",Multiple choice question 1
TC-003-037,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,id_error_fraction_0,1,25%,50%,error_id,,"One of the choices should be 100%, so that it is possible to get a full grade for this question."
TC-003-038,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,id_error_fraction_0,1,50%,50%,error_id,,"One of the choices should be 100%, so that it is possible to get a full grade for this question."
TC-003-039,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,"//a[contains(@href, 'course/view.php?id=75') and contains(normalize-space(.), 'Feline Welfare')]","//input[@type=""checkbox"" and @name=""setmode""]","//button[contains(@title, ""Add content"")]","//button[@title=""Add content""]","//button[@title=""Add an activity or resource""]","//a[@title=""Add a new Quiz""]","//button[@title=""Add selected activity""]",Quiz 1,id_name,"//input[@value=""Save and display""]","//li[@data-key=""mod_quiz_edit""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" add-menu "") and normalize-space(.)=""Add""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" menu-action-text "") and normalize-space(.)=""a new question""]","//span[contains(concat("" "", normalize-space(@class), "" ""), "" typename "") and normalize-space(.)=""Multiple choice""]","//input[@type=""submit"" and @value=""Add""]","//h2[normalize-space(.)=""Adding a Multiple choice question""]",Adding a Multiple choice question,id_name,Multiple choice question 1,id_questiontext,What is 2 + 2?,id_defaultmark,id_answer_0,4,id_fraction_0,id_answer_1,3,id_fraction_1,id_submitbutton,,1,100%,-50%,questionname,"//span[contains(concat("" "", normalize-space(@class), "" ""), "" questionname "") and normalize-space(.)=""Multiple choice question 1""]",Multiple choice question 1
