payload_id,site_url,login_url,username,password,participants_url,enrol_users_button_xpath,search_box_xpath,payload,wait_after_input_seconds,expected_domain,forbidden_keywords
XSS_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","<script>alert('XSS')</script>",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
XSS_02,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","<img src=x onerror=alert('XSS')>",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
XSS_03,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","'""><svg/onload=alert('XSS')>",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
XSS_04,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']",javascript:alert('XSS'),2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
HTML_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","<b>injected bold</b>",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
SQL_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","' OR '1'='1",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
SQL_02,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","' OR 1=1; --",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
SQL_03,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']",admin'--,2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
LONG_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']",AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
NULL_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']",Anna%00Alexander,2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
UNICODE_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']",Ａｎｎａ,2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
SPECIAL_01,https://school.moodledemo.net/,https://school.moodledemo.net/login/index.php,teacher,moodle26,https://school.moodledemo.net/user/index.php?id=69,"//input[@value='Enrol users']","//div[contains(@class,'form-autocomplete-input')]/input[@placeholder='Search']","!@#$%^&*()_+-=[]{}|;':,./<>?",2,school.moodledemo.net,traceback|exception|mysql|sql syntax|warning: mysql|pg_query|undefined index|/var/www|root:
